linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
44,45000.0,54,46.121454095,16.19445525,Krapinsko-zagorska,Budinščina,Budinšćina,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-budinscina-54.15-m2-oglas-42184644
82,65000.0,43,46.090717,15.837908,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stanovi-adresi-zagrebacka-ul-4-krapinske-toplice-oglas-39480704
54,65000.0,36,45.995889451904,15.919004799744,Krapinsko-zagorska,Oroslavje,Oroslavje,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/novogradnja-moguca-kupnja-preko-apn-a-oglas-40183841
14,65000.0,36,45.9954311918955,15.91740730917075,Krapinsko-zagorska,Oroslavje,Oroslavje,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-novogradnja-36m2-oroslavje-oglas-40296837
42,70000.0,32,45.992482012596,15.914758443832,Krapinsko-zagorska,Oroslavje,Oroslavje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-oroslavje-andrije-gredicaka-3h-32.00-m2-oglas-33954524
62,70000.0,40,45.9775722280279,15.92999339103699,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,0,1,1,1,1,5,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-40.12-m2-oglas-41095902
48,71000.0,57,46.054840230182,16.179468482252,Krapinsko-zagorska,Konjščina,Konjščina,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/konjscina-stan-57-m2-1-kat-oglas-41729750
26,80000.0,50,45.97671611768884,15.93468813196329,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,0,1,1,1,1,5,https://www.njuskalo.hr/nekretnine/stubicke-toplice-centar-2-sobni-stan-potkrovlju-50m2-parking-oglas-34320184
5,83500.0,60,46.094733015,15.8433647,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-60.00-m2-oglas-40973152
75,85000.0,63,45.977123,15.932182,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-63.00-m2-oglas-38886360
64,85000.0,55,46.081780948565765,15.911255596761295,Krapinsko-zagorska,Sveti Križ Začretje,Sveti Križ Začretje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/sveti-kriz-zacretje-dvosoban-stan-1-katu-55.00-m2-oglas-39887204
9,88000.0,37,45.971964780968094,15.931532926347515,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/prekrasan-novoadaptirani-stan-37.71m2-st-toplice-oglas-41295980
29,88435.0,116,45.99822379768463,15.883895150558995,Krapinsko-zagorska,Oroslavje,Mokrice,1,1,4,1,1,0,https://www.njuskalo.hr/nekretnine/stan-mokrice-116.00-m2-oglas-41399732
15,89900.0,50,45.9954311918955,15.91740730917075,Krapinsko-zagorska,Oroslavje,Oroslavje,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/zagorje-oroslavje-2s-stan-adaptiran-oglas-41784154
52,95000.0,68,45.974047782026,15.932637371447,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-52.00-m2-oglas-41384497
76,105000.0,75,46.05177649230163,16.178603836339533,Krapinsko-zagorska,Konjščina,Konjščina,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-konjscina-zagrebacka-cesta-10a-oglas-38344485
31,105000.0,65,46.091015,15.838282,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-65-m2-centru-krapinskih-toplica-oglas-40397082
61,110000.0,55,46.021957797344,15.914960384965,Krapinsko-zagorska,Zabok,Lug Zabočki,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-55.00-m2-novogradnja-prizemlje-oglas-41966157
59,114000.0,60,46.021957797344,15.914960384965,Krapinsko-zagorska,Zabok,Lug Zabočki,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-60.00-m2-novogradnja-potkrovlje-oglas-41966301
7,117000.0,60,46.0213836410253,15.91041875286391,Krapinsko-zagorska,Zabok,Lug Zabočki,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-zabok-lug-zabocki-56.00-m2-novogradnja-oglas-39617598
78,117300.0,69,46.088082135148056,15.839550735288212,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,0,3,2,1,1,1,https://www.njuskalo.hr/nekretnine/krapinske-toplice-stan-69m2-sjajna-lokacija-mirna-ulica-zelenilo-oglas-40992628
79,120000.0,65,46.167046304176665,15.868008960584856,Krapinsko-zagorska,Krapina,Centar,0,3,2,1,1,7,https://www.njuskalo.hr/nekretnine/stan-krapina-65.00-m2-oglas-40867996
60,120000.0,60,46.021957797344,15.914960384965,Krapinsko-zagorska,Zabok,Lug Zabočki,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-lug-zabocki-60.00-m2-novogradnja-kat-oglas-41966217
50,123000.0,69,46.148283815293,15.765587732298,Krapinsko-zagorska,Pregrada,Pregrada,0,1,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39-m2-novogradnja-oglas-39474319
45,126000.0,69,46.15497315663,15.760173396364,Krapinsko-zagorska,Pregrada,Pregrada,0,1,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39m2-oglas-41694940
6,130000.0,150,46.025295603368,15.905574799632,Krapinsko-zagorska,Zabok,Zabok,0,2,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-uzem-centru-zaboka-oglas-39127445
32,130000.0,150,46.023070339378,15.905716605091,Krapinsko-zagorska,Zabok,Zabok,0,2,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-centar-zaboka-dvoristem-spremistem-parkirnim-mjestom-oglas-41989061
85,132000.0,88,45.9774,15.910526,Krapinsko-zagorska,Stubičke Toplice,Strmec Stubički,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-88.00-m2-oglas-37043530
49,135000.0,78,46.148283815293,15.765587732298,Krapinsko-zagorska,Pregrada,Pregrada,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-novogradnja-oglas-39474358
72,135000.0,123,46.09453583652792,16.0793924331665,Krapinsko-zagorska,Zlatar,Zlatar,0,2,4,2,1,1,https://www.njuskalo.hr/nekretnine/stan-zlatar-123.00-m2-novogradnja-oglas-41590893
77,136000.0,80,46.18431601957238,15.863512369369646,Krapinsko-zagorska,Krapina - Okolica,Podgora Krapinska,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-podgora-krapinska-80.86-m2-oglas-41329071
47,137000.0,78,46.15486916282,15.75731387813,Krapinsko-zagorska,Pregrada,Pregrada,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-oglas-41694942
